x,y,z,t,resultant
-1.22625,-8.2771875,3.5254687500000004,7312.0,9.079892724029444
-1.5328125000000001,-7.204218750000001,3.5254687500000004,7312.03125,8.16573400651983
-2.29921875,-6.1312500000000005,3.2189062500000003,7312.0625,7.296573913086925
-2.60578125,-6.744375000000001,3.5254687500000004,7312.09375,8.043980356185807
-3.2189062500000003,-7.050937500000001,4.5984375,7312.125,9.01236398047713
-3.83203125,-7.050937500000001,5.05828125,7312.15625,9.486115766423284
-4.291875,-7.81734375,5.05828125,7312.1875,10.252671043459388
-4.905,-10.26984375,5.2115625,7312.21875,12.517551651214399
-4.75171875,-10.88296875,5.36484375,7312.25,13.030709434044342
-4.13859375,-11.955937500000001,5.36484375,7312.28125,13.742414205421092
-3.9853125,-14.56171875,4.13859375,7312.3125,15.654211155605923
-3.83203125,-15.17484375,3.67875,7312.34375,16.07773453880834
-2.7590625,-9.96328125,2.60578125,7312.375,10.661589706434935
-2.7590625,-7.51078125,1.5328125000000001,7312.40625,8.147010189291164
-3.0656250000000003,-8.58375,1.07296875,7312.4375,9.177694843565108
-3.2189062500000003,-8.737031250000001,0.7664062500000001,7312.46875,9.342614786546896
-3.0656250000000003,-9.350156250000001,0.45984375,7312.5,9.850631188632185
-2.60578125,-7.970625,1.07296875,7312.53125,8.454124481692538
-2.7590625,-7.6640625,1.22625,7312.5625,8.237352059085037
-2.4525,-7.3575,1.07296875,7312.59375,7.829356578830509
-2.1459375,-7.970625,1.839375,7312.625,8.456903158671988
-1.99265625,-8.58375,1.839375,7312.65625,9.001929981053456
-1.6860937500000002,-9.196875,2.29921875,7312.6875,9.628698186139475
-1.839375,-9.350156250000001,2.60578125,7312.71875,9.87921141654994
-1.99265625,-10.423125,2.9123437500000002,7312.75,11.004270071860883
-1.5328125000000001,-10.7296875,3.0656250000000003,7312.78125,11.26382548907952
-1.22625,-10.7296875,3.2189062500000003,7312.8125,11.269039016546412
-0.7664062500000001,-10.7296875,3.67875,7312.84375,11.368675118508548
-0.45984375,-10.7296875,3.3721875000000003,7312.875,11.256522493968845
-1.22625,-11.03625,3.0656250000000003,7312.90625,11.519572898576797
-1.839375,-9.5034375,3.3721875000000003,7312.9375,10.250379175532363
-1.99265625,-8.58375,3.9853125,7312.96875,9.671305946759224
-2.4525,-8.8903125,5.05828125,7313.0,10.518489520922566
-2.1459375,-9.5034375,5.05828125,7313.03125,10.977548964792371
-1.07296875,-11.3428125,3.3721875000000003,7313.0625,11.882016069833817
-2.1459375,-9.5034375,2.9123437500000002,7313.09375,10.168683208187606
-2.9123437500000002,-8.8903125,3.0656250000000003,7313.125,9.844666530992573
-3.0656250000000003,-7.204218750000001,3.0656250000000003,7313.15625,8.408143735635207
-3.0656250000000003,-6.744375000000001,3.0656250000000003,7313.1875,8.017649744275127
-3.0656250000000003,-7.204218750000001,3.83203125,7313.21875,8.71683933197424
-3.67875,-7.050937500000001,4.291875,7313.25,9.037096447810617
-3.9853125,-6.744375000000001,4.291875,7313.28125,8.932496900581956
-4.291875,-7.51078125,4.44515625,7313.3125,9.725813081068884
-3.9853125,-8.430468750000001,4.44515625,7313.34375,10.33029201689366
-3.67875,-9.96328125,4.5984375,7313.375,11.573495680670893
-3.9853125,-11.80265625,4.75171875,7313.40625,13.332825707906853
-3.83203125,-13.182187500000001,4.5984375,7313.4375,14.477574321257656
-3.5254687500000004,-13.488750000000001,3.83203125,7313.46875,14.458899334690146
-3.3721875000000003,-11.49609375,3.3721875000000003,7313.5,12.446022199044222
-3.5254687500000004,-9.043593750000001,2.1459375,7313.53125,9.940853362572646
-3.5254687500000004,-9.5034375,1.6860937500000002,7313.5625,10.27556160788411
-3.3721875000000003,-10.423125,1.5328125000000001,7313.59375,11.061767375105006
-2.4525,-9.5034375,1.6860937500000002,7313.625,9.95856378702247
-2.4525,-8.737031250000001,1.6860937500000002,7313.65625,9.230026188872145
-2.29921875,-7.970625,1.6860937500000002,7313.6875,8.465233717078673
-2.1459375,-7.81734375,1.839375,7313.71875,8.31259354535005
-1.839375,-7.81734375,1.839375,7313.75,8.238778070012206
