x,y,z,t,resultant
-4.13859375,-9.81,-0.15328125,1118.0,10.648359186707623
-4.44515625,-9.81,-0.15328125,1118.03125,10.771212059397755
-5.518125,-12.41578125,0.15328125,1118.0625,13.587671717593052
-5.518125,-14.101875000000001,0.0,1118.09375,15.143070429448912
-4.905,-11.03625,0.3065625,1118.125,12.08105209114282
-5.36484375,-7.81734375,0.7664062500000001,1118.15625,9.512086538063938
-5.8246875000000005,-9.043593750000001,0.7664062500000001,1118.1875,10.784291860281527
-5.36484375,-10.1165625,0.9196875,1118.21875,11.487915841264531
-4.5984375,-9.350156250000001,1.22625,1118.25,10.491650890270813
-4.13859375,-7.6640625,1.37953125,1118.28125,8.818668760145824
-3.9853125,-6.897656250000001,1.5328125000000001,1118.3125,8.112329605358536
-3.3721875000000003,-7.6640625,1.99265625,1118.34375,8.60698445855031
-2.7590625,-7.51078125,2.1459375,1118.375,8.284280814781937
-2.7590625,-7.970625,1.99265625,1118.40625,8.666831468316165
-3.9853125,-8.123906250000001,0.613125,1118.4375,9.069536413018602
-3.83203125,-8.430468750000001,0.613125,1118.46875,9.280796792912133
-3.83203125,-8.737031250000001,0.613125,1118.5,9.56013079565746
-4.291875,-8.8903125,0.3065625,1118.53125,9.876832889630537
-4.5984375,-9.96328125,0.3065625,1118.5625,10.977548964792371
-4.5984375,-10.7296875,0.45984375,1118.59375,11.682605769411062
-5.518125,-12.569062500000001,0.3065625,1118.625,13.730441224190049
-5.9779687500000005,-13.33546875,0.3065625,1118.65625,14.617278054569852
-5.518125,-10.1165625,0.45984375,1118.6875,11.532822577601952
-5.2115625,-9.350156250000001,0.15328125,1118.71875,10.705573349074859
-5.518125,-10.7296875,0.0,1118.75,12.065483718578434
-3.9853125,-9.81,0.45984375,1118.78125,10.598597642946462
-3.5254687500000004,-9.043593750000001,0.3065625,1118.8125,9.71130775893092
-3.0656250000000003,-7.81734375,0.15328125,1118.84375,8.398357880436546
-2.9123437500000002,-6.897656250000001,-0.15328125,1118.875,7.488851914875184
-3.0656250000000003,-7.050937500000001,-0.15328125,1118.90625,7.690076164195829
-2.9123437500000002,-7.51078125,-0.15328125,1118.9375,8.057113394083341
-3.2189062500000003,-7.6640625,-0.15328125,1118.96875,8.314006650935328
-3.5254687500000004,-7.970625,-0.15328125,1119.0,8.71683933197424
-3.5254687500000004,-7.81734375,-0.15328125,1119.03125,8.576904357312852
-3.83203125,-8.430468750000001,-0.15328125,1119.0625,9.26179043097525
-4.13859375,-9.5034375,0.0,1119.09375,10.365485157190923
-4.291875,-10.26984375,0.15328125,1119.125,11.131638549945853
-4.44515625,-10.7296875,0.45984375,1119.15625,11.623126266585269
-4.75171875,-12.569062500000001,0.3065625,1119.1875,13.44076425559254
-4.44515625,-13.02890625,0.0,1119.21875,13.766328928156668
-4.5984375,-10.7296875,0.3065625,1119.25,11.677576882875522
-4.905,-10.423125,0.45984375,1119.28125,11.52874737515048
-4.905,-9.96328125,1.07296875,1119.3125,11.156937761100853
-4.13859375,-8.2771875,1.37953125,1119.34375,9.356436159533281
-3.67875,-7.3575,1.37953125,1119.375,8.340810169415592
-3.9853125,-6.284531250000001,1.37953125,1119.40625,7.568431490382229
-3.83203125,-6.437812500000001,1.37953125,1119.4375,7.61793933789574
-4.291875,-6.897656250000001,1.99265625,1119.46875,8.364719462686907
-4.44515625,-6.897656250000001,0.9196875,1119.5,8.257293801708547
-4.75171875,-7.204218750000001,0.7664062500000001,1119.53125,8.664120117876495
-4.5984375,-7.970625,0.9196875,1119.5625,9.247827605967117
-4.291875,-8.58375,0.9196875,1119.59375,9.640891046774735
-4.291875,-9.043593750000001,0.9196875,1119.625,10.05249242866267
-4.75171875,-9.5034375,0.7664062500000001,1119.65625,10.652771185731293
-4.75171875,-9.5034375,0.7664062500000001,1119.6875,10.652771185731293
-4.75171875,-9.656718750000001,0.7664062500000001,1119.71875,10.789737097619303
-5.05828125,-10.1165625,0.7664062500000001,1119.75,11.336596692153554
-6.284531250000001,-13.02890625,0.7664062500000001,1119.78125,14.48568637115807
-5.518125,-10.7296875,0.9196875,1119.8125,12.100484389516708
-4.75171875,-8.58375,0.7664062500000001,1119.84375,9.841086001130192
-5.2115625,-10.57640625,0.3065625,1119.875,11.794690899843522
-4.44515625,-11.80265625,0.45984375,1119.90625,12.620363105592176
-3.5254687500000004,-9.96328125,0.15328125,1119.9375,10.569739746816365
-3.2189062500000003,-8.58375,-0.15328125,1119.96875,9.168730372870098
-3.2189062500000003,-7.970625,-0.3065625,1120.0,8.601523173445521
-2.7590625,-7.81734375,-0.45984375,1120.03125,8.30269507202236
-2.7590625,-7.81734375,-0.45984375,1120.0625,8.30269507202236
-3.2189062500000003,-7.6640625,-0.613125,1120.09375,8.335174486225247
-3.5254687500000004,-7.6640625,-0.45984375,1120.125,8.448564386068611
-3.5254687500000004,-7.6640625,-0.45984375,1120.15625,8.448564386068611
-3.5254687500000004,-7.970625,-0.3065625,1120.1875,8.720881455693444
-3.5254687500000004,-8.2771875,-0.15328125,1120.21875,8.998014111957392
-3.67875,-8.737031250000001,0.0,1120.25,9.479921762650607
-4.13859375,-9.196875,-0.15328125,1120.28125,10.086325551694513
-4.291875,-9.5034375,0.0,1120.3125,10.427632297507966
