x,y,z,t,resultant
1.5328125000000001,4.13859375,8.430468750000001,6468.0,9.515790862162845
1.5328125000000001,4.13859375,8.58375,6468.03125,9.651851451933734
1.07296875,4.291875,8.58375,6468.0625,9.65671875
1.07296875,4.13859375,8.8903125,6468.09375,9.864931652762317
1.6860937500000002,5.05828125,9.96328125,6468.125,11.300269669547367
2.7590625,6.591093750000001,11.3428125,6468.15625,13.405757647755369
-4.5984375,3.5254687500000004,7.204218750000001,6468.1875,9.245286644906386
-2.4525,6.437812500000001,8.2771875,6468.21875,10.769030548072212
2.29921875,5.05828125,6.1312500000000005,6468.25,8.274348471447956
0.9196875,4.13859375,6.591093750000001,6468.28125,7.8368552459825604
1.5328125000000001,3.3721875000000003,6.591093750000001,6468.3125,7.560666605306808
1.99265625,2.29921875,6.437812500000001,6468.34375,7.120569891249708
2.1459375,1.99265625,6.437812500000001,6468.375,7.072563641970751
3.0656250000000003,1.6860937500000002,9.350156250000001,6468.40625,9.9833055985394
5.36484375,-0.7664062500000001,10.7296875,6468.4375,12.0206123325565
3.67875,-0.613125,9.81,6468.46875,10.4950094725124
1.6860937500000002,4.291875,9.5034375,6468.5,10.563069036308544
2.1459375,5.67140625,9.043593750000001,6468.53125,10.888364639443537
0.3065625,7.204218750000001,6.591093750000001,6468.5625,9.769199823196724
1.6860937500000002,5.2115625,7.81734375,6468.59375,9.545373703049
3.3721875000000003,3.83203125,8.58375,6468.625,9.986835139253717
2.9123437500000002,3.9853125,8.430468750000001,6468.65625,9.769199823196724
2.4525,4.44515625,8.2771875,6468.6875,9.710098003988957
2.4525,4.13859375,8.2771875,6468.71875,9.573638147940171
2.7590625,4.44515625,7.970625,6468.75,9.534290894263995
2.60578125,4.44515625,7.970625,6468.78125,9.49106805899055
2.7590625,4.13859375,8.123906250000001,6468.8125,9.525662017163658
2.29921875,4.291875,8.2771875,6468.84375,9.603042787894513
1.99265625,4.13859375,8.2771875,6468.875,9.466280688230166
1.37953125,3.9853125,8.58375,6468.90625,9.563816510937608
