1622752193.000000, 1622752193.000000, 1622752193.000000
32.000000, 32.000000, 32.000000
-1,2,63
2,1,64
2,2,64
3,1,61
8,1,62
9,2,62
12,0,62
12,1,60
21,0,57
22,-1,58
4,2,66
8,3,70
1,0,59
3,0,62
5,0,63
7,1,62
10,2,61
12,0,60
12,1,61
12,1,62
12,0,61
13,-1,61
14,0,61
16,0,61
15,0,60
14,0,60
14,1,61
14,0,60
15,-1,61
15,0,60
15,0,60
15,0,61
15,0,60
15,0,60
15,0,60
13,0,60
13,0,61
13,0,61
12,0,61
12,0,61
13,1,61
12,0,61
12,0,62
13,0,61
13,0,61
12,1,61
13,1,61
13,0,60
13,0,61
12,0,61
13,0,61
13,0,61
13,0,61
13,0,61
14,0,61
13,0,61
13,0,61
14,0,60
15,0,61
16,-1,61
15,-1,60
14,-1,60
13,-1,60
9,0,61
11,0,62
8,0,62
7,1,62
9,0,62
10,-1,61
10,0,61
12,-1,61
11,-1,61
9,1,61
11,-1,62
10,-1,62
9,-1,62
10,0,62
11,0,62
9,-1,61
9,0,61
10,0,61
10,0,62
10,-1,61
10,-1,61
9,0,62
9,0,62
9,0,62
10,0,62
8,0,61
9,0,62
8,0,62
8,0,62
9,0,62
7,0,61
7,0,61
5,0,62
6,1,62
6,0,62
4,1,63
3,2,62
5,0,60
4,0,61
9,-2,63
-2,8,66
-1,-3,66
11,2,71
5,9,84
7,-1,82
15,-7,84
13,-3,86
18,-6,85
16,-14,74
4,-19,66
4,-16,65
14,-22,44
9,-26,44
-8,-22,30
5,-29,23
19,-37,20
2,-37,18
6,-42,15
19,-48,12
17,-51,11
20,-50,13
28,-45,19
26,-59,21
9,-53,23
8,-51,22
27,-53,23
29,-50,21
22,-49,17
16,-44,18
15,-41,27
30,-36,37
43,-35,45
36,-16,65
42,-18,63
56,-21,76
55,-19,81
25,-17,87
25,-26,72
57,-33,59
32,-10,70
19,-14,56
24,-14,31
23,-6,30
13,8,28
7,13,26
-8,27,23
-19,41,29
-15,43,26
-17,49,24
-21,49,26
-16,57,43
-21,63,47
-17,74,57
-14,82,88
-3,72,81
30,82,111
26,74,125
37,64,127
31,67,124
33,65,112
31,65,105
25,64,100
38,81,82
35,74,77
32,74,59
33,69,49
26,57,33
21,51,25
18,36,15
4,19,10
8,12,10
14,-13,-13
7,-27,-5
-4,-10,7
3,-20,1
4,-19,-4
-1,-13,3
-10,-14,4
-11,14,12
-8,18,19
4,33,35
12,55,61
-8,100,102
-35,84,127
-11,64,127
-5,41,127
3,51,127
9,51,127
11,54,123
-17,59,96
-27,60,92
-12,61,84
-55,62,49
-78,54,34
-39,57,61
-38,57,51
-41,39,38
-36,34,31
-13,25,31
-3,6,9
-1,5,10
1,4,3
3,-5,5
12,-8,11
14,-16,9
15,-34,9
25,-32,25
30,-29,26
46,-15,40
52,-1,51
60,18,57
59,19,64
73,30,71
74,19,53
79,25,54
87,26,49
96,24,39
93,27,31
73,35,43
79,42,67
79,38,67
16,66,120
-28,37,114
-25,19,91
-52,-16,43
-41,-23,22
-32,-29,-17
-22,-31,-26
13,-31,-54
48,-49,-43
48,-38,-37
49,-48,-46
52,-46,-44
47,-51,-50
39,-50,-53
32,-43,-40
18,-34,-32
18,-24,-25
31,-2,-2
25,6,1
48,33,44
46,43,47
101,17,73
89,19,80
71,22,83
96,12,94
78,24,97
61,18,100
61,18,97
19,26,73
1,22,55
5,5,32
8,9,14
-3,9,-10
-2,-16,-29
22,-31,-35
42,-28,-31
41,-36,-48
70,-54,-44
89,-45,-39
73,-43,-44
72,-46,-37
64,-41,-30
41,-38,-26
38,-38,-21
33,-29,-10
28,-31,-9
21,-35,-6
13,-26,6
11,-26,12
8,-22,28
3,-16,32
-21,-9,65
-20,-16,76
-68,-14,98
-59,-38,115
-56,-42,119
-66,-45,94
-51,-40,86
-42,-27,63
-39,-26,48
-20,-17,24
2,-12,8
5,-12,1
14,-19,-10
22,-26,-10
30,-33,-19
46,-48,-20
82,-61,-33
89,-63,-31
66,-62,-30
44,-70,-21
36,-63,-13
21,-51,-9
22,-58,-8
18,-46,-2
14,-41,-1
3,-38,2
-4,-29,6
-2,-30,4
-10,-15,24
-29,10,35
-7,-17,53
-18,-12,77
-83,7,96
-64,-12,127
-84,-17,126
-85,-27,92
-56,-20,90
-53,-7,63
-50,-10,47
-27,-5,28
-12,-8,15
-6,-8,11
7,-17,3
5,-22,1
22,-29,0
42,-38,-3
66,-53,-22
82,-68,-15
84,-63,-9
62,-69,-22
51,-68,-21
34,-48,-8
30,-50,-6
20,-60,-6
18,-60,-8
24,-40,2
24,-43,1
19,-43,4
5,-40,12
1,-39,11
-4,-30,21
-7,-21,32
-12,-16,25
-115,30,68
-81,-20,62
-128,-15,78
-128,-37,57
-77,-45,76
-82,-40,61
-80,-26,36
-55,-22,33
-30,-17,27
-25,-15,14
-16,-13,8
12,-13,12
17,-18,11
13,-26,-1
26,-37,-4
35,-43,-3
64,-59,-3
75,-58,1
92,-71,-16
90,-69,-14
56,-66,-12
49,-65,-7
32,-48,-1
28,-49,1
29,-44,8
26,-42,9
22,-41,6
14,-34,7
11,-32,10
9,-34,14
-3,-27,10
-8,-22,10
-11,-10,37
-27,8,56
-112,29,118
-128,1,105
-104,-37,101
-103,-58,86
-75,-34,66
-55,-24,46
-46,-22,39
-26,-16,30
-16,-14,24
-13,-12,35
-15,-11,34
-1,-6,18
7,-30,8
7,-38,3
31,-44,-4
57,-59,-9
61,-80,-11
66,-78,-13
83,-72,-13
51,-63,-20
47,-57,-13
32,-46,-1
24,-46,-3
21,-45,-1
20,-44,2
19,-48,2
11,-46,3
11,-46,2
13,-38,7
12,-35,15
-16,-23,39
-38,-14,36
-13,-31,68
-76,18,105
-84,-24,91
-39,-26,108
-43,-31,92
-47,-30,65
-40,-24,55
-18,-25,45
-15,-21,42
3,-21,34
21,-12,52
48,-16,42
40,-20,49
30,-20,36
2,-30,12
-4,-36,5
17,-54,-13
24,-82,-25
33,-73,-17
108,-75,-13
97,-73,-25
61,-57,-12
48,-50,-12
31,-50,-14
27,-36,1
20,-29,7
5,-31,7
1,-29,10
-3,-7,34
0,-3,34
9,-10,56
4,-2,70
4,0,92
-33,15,123
-57,20,125
-53,-2,113
-45,-8,105
-36,-20,85
-31,-20,72
-12,-24,38
7,-23,23
12,-24,17
13,-24,10
21,-20,10
35,-18,13
28,-16,13
39,-12,16
46,-11,8
58,-3,12
84,8,28
99,8,38
94,18,50
96,9,61
89,2,66
78,15,68
29,20,32
-30,16,-28
-23,-38,-43
-83,18,-12
-88,9,-7
-42,16,72
-58,16,68
45,15,91
119,43,125
55,22,84
-4,-6,38
3,-2,48
36,6,51
39,3,55
57,12,77
18,21,30
-68,32,30
-128,19,-26
-55,14,-8
65,11,20
127,16,127
49,46,44
-23,26,19
-108,11,-11
127,-16,42
127,80,120
38,28,39
-67,24,-4
-44,5,-30
84,-14,19
87,71,55
-29,28,26
-108,2,4
22,-1,24
127,15,64
53,40,65
14,20,49
-34,12,34
45,27,61
48,35,72
8,20,54
-1,18,48
31,22,59
36,25,63
20,20,55
14,19,54
14,20,55
27,21,59
31,22,61
18,21,58
12,16,52
20,19,57
19,19,54
24,32,54
26,15,56
28,18,58
27,25,62
22,19,67
18,-2,72
24,3,81
28,3,89
29,-6,89
22,-13,78
-11,-25,48
-18,-31,31
-8,-37,12
-5,-31,3
-3,-39,-19
9,-52,-27
21,-72,-24
36,-55,-4
25,-50,16
26,-44,18
59,-37,23
76,-45,31
57,-40,31
41,-34,31
42,-36,35
34,-36,30
33,-36,32
27,-34,30
38,-37,25
44,-36,27
34,-41,20
