x,y,z,t,resultant
-2.9123437500000002,-9.5034375,1.07296875,7169.0,9.997416284873152
-2.7590625,-9.656718750000001,0.9196875,7169.03125,10.085160781721038
-2.9123437500000002,-9.656718750000001,0.9196875,7169.0625,10.128168059053024
-2.7590625,-9.5034375,0.9196875,7169.09375,9.938489588109894
-2.7590625,-9.5034375,0.9196875,7169.125,9.938489588109894
-2.60578125,-9.5034375,1.07296875,7169.15625,9.912450866346546
-2.7590625,-9.5034375,1.07296875,7169.1875,9.95384408828012
-2.7590625,-9.5034375,1.37953125,7169.21875,9.991539254040845
-3.0656250000000003,-9.5034375,1.07296875,7169.25,10.043139095696516
-3.0656250000000003,-9.350156250000001,1.07296875,7169.28125,9.898219055896654
-3.0656250000000003,-9.5034375,0.9196875,7169.3125,10.02792132272125
-3.3721875000000003,-9.043593750000001,0.613125,7169.34375,9.671305946759224
-1.5328125000000001,-9.5034375,1.07296875,7169.375,9.68587117481123
-3.3721875000000003,-9.81,0.9196875,7169.40625,10.41410455261577
-2.7590625,-9.81,1.22625,7169.4375,10.264122706856455
-3.0656250000000003,-9.656718750000001,1.22625,7169.46875,10.205584878865425
-3.0656250000000003,-9.81,1.22625,7169.5,10.35074131176724
-2.7590625,-9.656718750000001,1.6860937500000002,7169.53125,10.18369063892344
-3.0656250000000003,-9.5034375,1.5328125000000001,7169.5625,10.102618230794803
-3.3721875000000003,-9.350156250000001,1.37953125,7169.59375,10.034947777855992
-3.3721875000000003,-9.196875,1.37953125,7169.625,9.89228309191098
-3.3721875000000003,-9.196875,1.22625,7169.65625,9.872074116581645
-3.2189062500000003,-9.196875,1.07296875,7169.6875,9.802812308230259
-3.3721875000000003,-9.196875,1.07296875,7169.71875,9.854208250248105
-3.3721875000000003,-9.350156250000001,0.9196875,7169.75,9.982128807635503
-3.2189062500000003,-9.350156250000001,1.07296875,7169.78125,9.946760341145238
-3.3721875000000003,-9.350156250000001,0.7664062500000001,7169.8125,9.969174939512769
-2.9123437500000002,-9.350156250000001,1.07296875,7169.84375,9.851823686813255
-2.7590625,-9.350156250000001,1.22625,7169.875,9.825555294273212
-3.0656250000000003,-9.5034375,0.9196875,7169.90625,10.02792132272125
-3.2189062500000003,-9.5034375,0.7664062500000001,7169.9375,10.063004536555392
-2.9123437500000002,-9.5034375,0.9196875,7169.96875,9.982128807635503
-2.29921875,-9.656718750000001,1.37953125,7170.0,10.022062180343909
-2.60578125,-9.5034375,1.5328125000000001,7170.03125,9.972709481350295
-2.9123437500000002,-9.5034375,1.37953125,7170.0625,10.034947777855992
-3.2189062500000003,-9.656718750000001,1.22625,7170.09375,10.25267104345939
-3.5254687500000004,-9.656718750000001,0.9196875,7170.125,10.32119043625707
-3.3721875000000003,-9.5034375,1.07296875,7170.15625,10.140918833618533
-3.5254687500000004,-9.350156250000001,0.613125,7170.1875,10.011507082965364
-3.5254687500000004,-9.350156250000001,0.7664062500000001,7170.21875,10.022062180343909
-3.67875,-9.043593750000001,0.9196875,7170.25,9.806406812650357
-3.9853125,-9.350156250000001,0.7664062500000001,7170.28125,10.192914998277452
-3.9853125,-9.196875,0.9196875,7170.3125,10.06533906959609
-3.5254687500000004,-9.196875,0.9196875,7170.34375,9.892283091910977
-3.83203125,-9.196875,0.7664062500000001,7170.375,9.992714936724685
-3.3721875000000003,-9.656718750000001,0.7664062500000001,7170.40625,10.257253243037189
-3.3721875000000003,-9.656718750000001,0.9196875,7170.4375,10.269843750000001
-3.5254687500000004,-9.350156250000001,0.9196875,7170.46875,10.034947777855992
-3.2189062500000003,-9.350156250000001,0.9196875,7170.5,9.931394889105931
-3.2189062500000003,-9.5034375,0.9196875,7170.53125,10.075837774614653
-2.4525,-9.5034375,1.22625,7170.5625,9.891095471630342
-2.4525,-9.81,1.37953125,7170.59375,10.205584878865423
-2.60578125,-9.656718750000001,1.07296875,7170.625,10.059501721155463
-2.60578125,-9.5034375,1.07296875,7170.65625,9.912450866346546
-2.9123437500000002,-9.5034375,0.9196875,7170.6875,9.982128807635503
-3.0656250000000003,-9.196875,0.9196875,7170.71875,9.73788434434843
-3.2189062500000003,-9.350156250000001,0.7664062500000001,7170.75,9.9183747602993
-3.2189062500000003,-9.350156250000001,0.7664062500000001,7170.78125,9.9183747602993
-3.0656250000000003,-9.5034375,1.07296875,7170.8125,10.043139095696516
